Model Name,Binary Cross-Entropy,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
SVC,0.7032016619892869,0.48,0.0,0.0,1.0,0.0,0.4695512820512821
LogisticRegression,0.7357614117344987,0.48,0.5,0.34615384615384615,0.625,0.4090909090909091,0.5512820512820512
DecisionTreeClassifier,17.661390160667402,0.51,0.5405405405405406,0.38461538461538464,0.6458333333333334,0.449438202247191,0.5152243589743589
RandomForestClassifier,0.7257468920808169,0.53,0.5757575757575758,0.36538461538461536,0.7083333333333334,0.4470588235294118,0.4747596153846154
AdaBoostClassifier,0.6876677946723149,0.46,0.475,0.36538461538461536,0.5625,0.41304347826086957,0.484375
KNeighborsClassifier,1.0907102168355134,0.5,0.5227272727272727,0.4423076923076923,0.5625,0.4791666666666667,0.5412660256410257
GaussianNB,2.1296320882076865,0.46,0.4583333333333333,0.21153846153846154,0.7291666666666666,0.2894736842105263,0.5392628205128205
MLPClassifier,1.1668150000938988,0.53,0.5490196078431373,0.5384615384615384,0.5208333333333334,0.5436893203883495,0.5540865384615385
Optimized Neural Network Model,0.6500799702182557,0.53,0.7777777777777778,0.1346153846153846,0.9583333333333334,0.22950819672131148,0.609775641025641
